Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF 0402,C_0402_1005Metric,201.149999,-145.250000,225.000000,bottom
C2,1uF 0402,C_0402_1005Metric,197.655000,-139.680000,180.000000,bottom
C3,100nF 0402,C_0402_1005Metric,186.205001,-138.620000,90.000000,bottom
C4,100nF 0402,C_0402_1005Metric,198.115000,-142.330000,180.000000,bottom
C5,1uF 0402,C_0402_1005Metric,197.205000,-138.700000,180.000000,bottom
C6,100nF 0402,C_0402_1005Metric,197.505000,-141.360000,180.000000,bottom
C7,100nF 0402,C_0402_1005Metric,185.715000,-140.510000,90.000000,bottom
C8,100nF 0402,C_0402_1005Metric,194.875000,-146.825000,270.000000,bottom
C10,100nF 0402,C_0402_1005Metric,191.100000,-147.500000,270.000000,bottom
C11,100nF 0402,C_0402_1005Metric,191.075000,-135.575000,90.000000,bottom
C12,100nF 0402,C_0402_1005Metric,194.900000,-136.599999,90.000000,bottom
C13,0.1uF 0402,C_0402_1005Metric,159.800000,-54.630000,270.000000,bottom
C14,22pF 0402,C_0402_1005Metric,182.025000,-139.050000,180.000000,bottom
C15,22pF 0402,C_0402_1005Metric,182.278554,-144.300001,180.000000,bottom
C16,1uF 0402,C_0402_1005Metric,203.550000,-137.950000,270.000000,bottom
C17,1uF 0402,C_0402_1005Metric,200.155000,-136.675000,180.000000,bottom
C18,100uF 0402,C_0402_1005Metric,160.800000,-54.630000,270.000000,bottom
C19,1uF 0402,C_0402_1005Metric,166.830000,-54.150000,180.000000,bottom
D1,SMA general purpose,D_SMA,156.850000,-53.925000,90.000000,bottom
D2,1n4004,D_SMA,137.000000,-135.974999,270.000000,bottom
D3,1n4004,D_SMA,141.250001,-135.975000,270.000000,bottom
D4,1n4004,D_SMA,132.750001,-135.975000,270.000000,bottom
D5,1n4004,D_SMA,128.500000,-135.975001,270.000000,bottom
D6,1n4004,D_SMA,124.500002,-135.975001,270.000000,bottom
D7,1n4004,D_SMA,120.000001,-135.975001,270.000000,bottom
D_0,D,D_SOD-123,50.099996,-72.375000,90.000000,bottom
D_1,D,D_SOD-123,69.149996,-72.375000,90.000000,bottom
D_2,D,D_SOD-123,88.199996,-72.375000,90.000000,bottom
D_3,D,D_SOD-123,107.249996,-72.375000,90.000000,bottom
D_4,D,D_SOD-123,126.299996,-72.375000,90.000000,bottom
D_5,D,D_SOD-123,145.349996,-72.375000,90.000000,bottom
D_6,D,D_SOD-123,164.399996,-72.375000,90.000000,bottom
D_7,D,D_SOD-123,183.449996,-72.375000,90.000000,bottom
D_8,D,D_SOD-123,202.499996,-72.375000,90.000000,bottom
D_9,D,D_SOD-123,221.549996,-72.375000,90.000000,bottom
D_10,D,D_SOD-123,240.599996,-72.375000,90.000000,bottom
D_11,D,D_SOD-123,259.649996,-72.375000,90.000000,bottom
D_12,D,D_SOD-123,278.699996,-72.375000,90.000000,bottom
D_13,D,D_SOD-123,297.749996,-72.375000,90.000000,bottom
D_14,D,D_SOD-123,311.420000,-72.375000,90.000000,bottom
D_15,D,D_SOD-123,59.659996,-91.575000,90.000000,bottom
D_16,D,D_SOD-123,78.709996,-91.575000,90.000000,bottom
D_17,D,D_SOD-123,97.759996,-91.575000,90.000000,bottom
D_18,D,D_SOD-123,116.809996,-91.575000,90.000000,bottom
D_19,D,D_SOD-123,135.859996,-91.575000,90.000000,bottom
D_20,D,D_SOD-123,154.909996,-91.575000,90.000000,bottom
D_21,D,D_SOD-123,173.959996,-91.575000,90.000000,bottom
